pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-1000,Kepler-1000 b,Transit,120.0181272,925,1.4,1.51,4.76,0.4835,2454967.18927,Kepler
Kepler-1077,Kepler-1077 b,Transit,34.3511874,1098,1.02,1.02,2.77,0.17592,2454967.18978,Kepler
Kepler-1350,Kepler-1350 b,Transit,4.4968604,350,0.55,0.53,2.52,0.074433,2454967.20635,Kepler
Kepler-1542,Kepler-1542 b,Transit,3.95116882,336,0.94,0.99,0.76,0.107983,2454967.22178,Kepler
Kepler-1116,Kepler-1116 b,Transit,41.6977827,1017,0.95,0.93,2.54,0.22596,2454967.24364,Kepler
Kepler-1376,Kepler-1376 b,Transit,5.30880656,864,0.98,0.97,1.05,0.12575,2454967.24408,Kepler
Kepler-1512,Kepler-1512 b,Transit,20.35972599,162,0.73,0.67,1.18,0.07985,2454967.29096,Kepler
Kepler-1414,Kepler-1414 b,Transit,3.51576315,534,0.8,0.75,1.23,0.05683,2454967.29843,Kepler
Kepler-1641,Kepler-1641 b,Transit,19.672266,961,1.12,1.19,3.11,0.19858,2454967.3056,Kepler
KOI-351,KOI-351 e,Transit,91.93913,780,1.2,1.2,2.66,0.4046,2454967.3127,Kepler
Kepler-1599,Kepler-1599 b,Transit,122.363553,1004,0.99,0.99,1.62,0.3883,2454967.3327,Kepler
Kepler-1271,Kepler-1271 b,Transit,3.0255955,885,1.13,1.23,1.48,0.1233,2454967.3645,Kepler
Kepler-794,Kepler-794 b,Transit,11.13125132,763,1.19,1.38,2.11,0.173962,2454967.36532,Kepler
Kepler-1643,Kepler-1643 b,Transit,5.34264507,414,0.92,0.88,2.3,0.10004,2454967.38036,Kepler
Kepler-1254,Kepler-1254 b,Transit,9.99113313,676,0.78,0.75,1.55,0.11021,2454967.39293,Kepler
Kepler-1365,Kepler-1365 b,Transit,7.69993485,541,1,1.05,0.92,0.1829,2454967.39328,Kepler
Kepler-1296,Kepler-1296 b,Transit,8.3839865,631,0.87,0.83,0.91,0.208,2454967.41175,Kepler
Kepler-1639,Kepler-1639 b,Transit,9.878482,1168,1.12,1.18,2.58,0.12837,2454967.416,Kepler
Kepler-1049,Kepler-1049 b,Transit,3.27346074,129,0.51,0.49,0.95,0.073883,2454967.44686,Kepler
Kepler-1081,Kepler-1081 b,Transit,3.85691855,425,0.88,0.84,1.01,0.082662,2454967.47172,Kepler
Kepler-1033,Kepler-1033 b,Transit,7.56052806,1425,0.94,0.92,2.51,0.159425,2454967.4789,Kepler
Kepler-1592,Kepler-1592 b,Transit,3.05710069,1349,1.18,1.28,1.54,0.14679,2454967.50105,Kepler
Kepler-821,Kepler-821 b,Transit,1.92279873,619,0.84,0.8,1.31,0.079963,2454967.50338,Kepler
Kepler-1084,Kepler-1084 b,Transit,2.05333679,427,1.12,1.28,1.11,0.098963,2454967.51799,Kepler
Kepler-483,Kepler-483 b,Transit,30.229104,953,1.28,1.47,3.21,0.269408,2454967.52038,Kepler
Kepler-1110,Kepler-1110 b,Transit,9.69312032,726,0.73,0.7,2.66,0.11496,2454967.52964,Kepler
Kepler-946,Kepler-946 b,Transit,11.79162572,918,0.94,0.93,1.93,0.12529,2454967.54021,Kepler
Kepler-732,Kepler-732 c,Transit,0.89304124,150,0.49,0.46,1.27,0.046008,2454967.540277,Kepler
Kepler-1591,Kepler-1591 b,Transit,8.18504949,1090,1.1,1.16,1.27,0.17558,2454967.55375,Kepler
Kepler-1108,Kepler-1108 b,Transit,4.51005748,764,0.88,0.84,1.46,0.090021,2454967.56728,Kepler
Kepler-830,Kepler-830 b,Transit,11.29695137,1122,1.07,1.11,1.7,0.19096,2454967.56876,Kepler
Kepler-1100,Kepler-1100 b,Transit,6.42200058,940,1.21,1.34,1.75,0.110842,2454967.58093,Kepler
Kepler-770,Kepler-770 d,Transit,4.15244722,761,0.94,0.92,1.4,0.107983,2454967.58277,Kepler
Kepler-1465,Kepler-1465 b,Transit,31.8277111,350,0.75,0.71,1.77,0.066,2454967.59821,Kepler
Kepler-480,Kepler-480 b,Transit,4.9195838,806,1.25,1.34,2.78,0.174483,2454967.602759,Kepler
